,Attribute,Value
0,Previous Close,
1,YTD Return,
2,Expense Ratio (net),
3,Category,
4,Last Cap Gain,
5,Morningstar Rating,
6,Morningstar Risk Rating,
7,Sustainability Rating,
8,Net Assets,
9,Beta (5Y Monthly),
10,Yield,
11,5y Average Return,
12,Holdings Turnover,
13,Last Dividend,
14,Average for Category,
15,Inception Date,
